name,met (ms),iters,Speedup factor
std_radix_low_card_1048576_delta_2,0.69536,100,5.60170271514036
std_aflag_low_card_1048576_delta_2,4.17099,100,0.933879007142189
std_aflag_copy_low_card_1048576_delta_2,0.66768,100,5.83393242271747
std_sort_low_card_1048576_delta_5,5.89823,100,
std_radix_low_card_1048576_delta_5,0.69645,100,8.46899274894106
std_aflag_low_card_1048576_delta_5,4.16946,100,1.41462683417037
std_aflag_copy_low_card_1048576_delta_5,0.6628700000000001,100,8.89801921945479
std_sort_low_card_1048576_delta_20,9.79307,100,
std_radix_low_card_1048576_delta_20,0.69743,100,14.0416529257417
std_aflag_low_card_1048576_delta_20,4.16456,100,2.3515257314098
std_aflag_copy_low_card_1048576_delta_20,0.66617,100,14.7005569149016
std_sort_low_card_1048576_delta_100,14.68193,100,
std_radix_low_card_1048576_delta_100,0.69505,100,21.1235594561542
std_aflag_low_card_1048576_delta_100,4.17685,100,3.51507236314447
std_aflag_copy_low_card_1048576_delta_100,0.66896,100,21.9473959579048
